listen to faith hill - love ain't like that            its a great example <eos>
it's a good idea to always be <unk> not many guys i know don't like being told they're hot! <eos> <pad> <pad> <pad> <pad> <pad>
they know the women will not chase them like good looking or wealthy men who get tons of chicks. <eos> <pad> <pad> <pad> <pad> <pad>
i am <unk> yrs of age and looking for a beautiful woman to spend my time with and <unk> <eos> <pad> <pad> <pad> <pad> <pad>
tell him that u jst wannabe friends and that u r relly disappointed that he would act so <unk> <eos> <pad> <pad> <pad> <pad> <pad>
well after u take her out get to know her some and then go 4 the <unk> her out <eos> <pad> <pad> <pad> <pad> <pad>
i like this boy austin and i told my friend claudia to ask <unk> if he likes me <eos> <pad> <pad> <pad> <pad> <pad> <pad>
you are killing the romance by <unk> up that stupid question, ever thought of having fun together instead? <eos> <pad> <pad> <pad> <pad> <pad> <pad>
may be <unk> your name is <unk> but if you show your face maybe not no hard feelings <eos> <pad> <pad> <pad> <pad> <pad> <pad>
;) nah the only time u see a man emotional is when he is with his lady luv! <eos> <pad> <pad> <pad> <pad> <pad> <pad>
i prob will tell her soon cuz shes my best friend ha well any help would be nice. <eos> <pad> <pad> <pad> <pad> <pad> <pad>
if he's gonna be an on and off guy like that i say dump him 4 good! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
after how much time can you conclude that it takes too long and she isn't really interested? <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
sometimes its better to be very good friends first and make sure ur happy around each other <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
ofcourse, if she calls like 5 times a day about that, then it would be crazy. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
no offense, but it kinda sounds like a girls name ya know but no disrespect <unk> <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
i know 3 guys that i can probably get away with doing something like that. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
is how should i approach her and be not just another guy hitting on her? <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
if u guys still keep in <unk> dont think thats the best thing to do. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
mabey because ou just think they look sexy when they are running on the <unk> <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
death is like a big black bag full of of crack or smack or <unk> <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it always finds a way to get out in the open, just don't do it! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
that doesn't mean it makes it right, it means that it makes us human. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
no <unk>  oh and nice picture of george <unk> on your profile lmao <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
some do, but i would rather have a pair that were not too big <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it sounds like you are both comfortable with things just the way they are. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it really depends on the guy but i think most guys seriously don't care. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
men play at love to get sex, women play at sex to get love. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
everybody likes to be told that they're hot, even if they don't admit it! <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
what if you tell him that you just want to be friends with benefits. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
as for now i think he is mad, hurt, upset and got over you. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
practice <unk> <unk> with ur tongue, and <unk> cherry <unk> w/ your tongue. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
complement <unk> her <unk> act <unk> like u r the <unk> guy ever. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
wait a little while then date guys that way you enjoy it more. <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
child please, dont ask that question if you dont want your feelings hurt <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
it depends they all like different 1's but not <unk> freaks like u <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
if he turns you down, hes not worth it in the first <unk> <eos> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>
